"id","uid","bm_unit_id","fuel_type","lead_party_name"
332,"390759de-a8dd-4a9a-8ccb-bde77f7a2388","T_HRSTW-1","WIND","SP Renewables (UK) Limited"
185,"9e92a0a8-6736-4a34-a238-b5f154528e53","T_KENNW-1","WIND","Kennoxhead Wind Farm Limited"
184,"62dd2bcc-473f-4ac2-9465-13878663852b","T_KILBW-1","WIND","Kilbraur Wind Energy Ltd"
179,"ac14a00c-6afe-4650-b6d8-9842abc0c228","T_KLGLW-1","WIND","SP Renewables (UK) Limited"
178,"cc5aefc5-ad0e-4c11-be50-02baab65ad16","T_KPMRW-1","WIND","Banks Renewable Limited"
177,"228dab8b-980c-43c0-ae51-aadf8445e921","T_KTHLW-1","WIND","Statkraft Markets Gmbh"
174,"2a2c09da-449b-4b14-b516-ef4bcd85d3be","T_KYPEW-1","WIND","Banks Renewables Limited"
171,"92b575df-5dbf-42fb-9035-401019fdfd36","T_LARYW-1","WIND","London Array Limited"
170,"13d63661-6e6e-4807-b2b4-c571f8fbcbab","T_LARYW-2","WIND","London Array Limited"
169,"a8e508c3-cc8b-426c-a05d-95606644f19a","T_LARYW-3","WIND","London Array Limited"
168,"93b7f952-d019-4b33-92c5-eb1ca5cfcb93","T_LARYW-4","WIND","London Array Limited"
163,"4caae2da-558f-426a-a5f4-eeffd165e308","T_LNCSW-1","WIND","Lincs Wind Farm Ltd"
162,"9a1d8cbd-47dc-4344-b2d9-abe2ee91b01f","T_LNCSW-2","WIND","Lincs Wind Farm Ltd"
156,"570a80da-46d0-40a7-a13f-d28c430f0a8a","T_MIDMW-1","WIND","Banks Renewable Limited"
155,"6e420792-1d93-42a5-bc30-25245c2761df","T_MILWW-1","WIND","Millennium Wind Energy Ltd"
154,"e20320cd-a447-4a65-9e5c-ee1feae41fd1","T_MKHLW-1","WIND","SP Renewables (UK) Limited"
152,"4873f2b5-5179-4e97-868e-8b90bc7242b2","T_MOWEO-1","WIND","Moray Offshore Wind East Ltd"
151,"c9a00201-bff6-4271-a059-a3d1c3c00636","T_MOWEO-2","WIND","Moray Offshore Wind East Ltd"
150,"ebebe61f-8714-4363-9e24-e16cf138c6fc","T_MOWEO-3","WIND","Moray Offshore Wind East Ltd"
148,"ec010e2c-e6a3-4210-aeec-de9a5eb0a7e4","T_MYGPW-1","WIND","Minnygap Energy Limited"
146,"957cb2fd-566b-46b0-9110-99cc957144c2","T_OMNDW-1","WIND","Ormonde Energy Ltd"
136,"a6a789a8-6691-4b05-b49d-db81d70e9dea","T_PGBIW-1","WIND","EDF Energy Customers Ltd"
135,"1d65130e-671c-4cb9-9ad5-4c5d777ae089","T_PNYCW-1","WIND","Pen y Cymoedd Wind Farm LTD"
125,"2ce2dc27-bf00-4a24-afb0-68fdc97a0c2b","T_RCBKO-1","WIND","Race Bank Wind Farm Ltd"
124,"831b5877-2539-4c01-b011-60d298cdde28","T_RCBKO-2","WIND","Race Bank Wind Farm Ltd"
123,"2a4268c6-7827-4736-8a1d-e36a9bfad920","T_RMPNO-1","WIND","Rampion Offshore Windfarm Ltd"
